"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Killzone: Liberation";"PSP";2006;"Shooter";"Sony Computer Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Madden NFL 08";"Nintendo Wii";2007;"Sports";"Electronic Arts";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Blitz: The League";"PS2";2005;"Sports";"Unknown";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"LEGO Jurassic World";"PS4";2015;"Action";"Warner Bros. Interactive Entertainment";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Sonic Chronicles: The Dark Brotherhood";"Nintendo DS";2008;"Role-Playing";"Sega";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Tiger Woods PGA Tour 06";"PS2";2005;"Sports";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"The Jak and Daxter Collection";"PS3";2012;"Platform";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Pokemon Card GB2: Here Comes Team GR!";"Gameboy";2001;"Strategy";"Nintendo";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"Finding Nemo";"Nintendo GameCube";2003;"Action";"THQ";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"CSI: Hard Evidence";"Nintendo Wii";2008;"Adventure";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Ace Combat 2";"PS";1997;"Simulation";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"F1 2009";"Nintendo Wii";2009;"Racing";"Codemasters";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"NFL 2K2";"PS2";2001;"Sports";"Sega";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"EA Sports UFC 2";"PS4";2016;"Sports";"Electronic Arts";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Dissidia 012: Duodecim Final Fantasy";"PSP";2011;"Fighting";"Square Enix";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"LEGO Marvel Super Heroes";"Nintendo 3DS";2013;"Action";"Warner Bros. Interactive Entertainment";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"F1 2010";"XBOX 360";2010;"Racing";"Codemasters";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Monster 4X4: World Circuit";"Nintendo Wii";2006;"Racing";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Wii Fit U";"Nintendo WiiU";2013;"Sports";"Nintendo";"Home";"Nintendo";2012;2017;13.56;3.13;2.07;1.27;6.96
"Kingdoms of Amalur: Reckoning";"XBOX 360";2012;"Role-Playing";"Electronic Arts";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Call of Duty: Modern Warfare 3";"Nintendo Wii";2011;"Shooter";"Activision";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"MLB 2001";"PS";2000;"Sports";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"SingStar Anthems";"PS2";2006;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Seiken Densetsu 3";"Super Nintendo";1995;"Role-Playing";"SquareSoft";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Mega Man 8 Anniversary Collector's Edition";"PS";1996;"Platform";"Capcom";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"WWE SmackDown vs. Raw 2011";"XBOX 360";2010;"Fighting";"THQ";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Sleeping Dogs";"XBOX 360";2012;"Action";"Square Enix";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Peppa Pig: The Game";"Nintendo DS";2008;"Misc";"Pinnacle";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Michael Jackson: The Experience";"XBOX 360";2011;"Misc";"Ubisoft";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Ghostbusters: The Video Game";"Nintendo Wii";2009;"Action";"Atari";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Rock Band 3";"XBOX 360";2010;"Misc";"MTV Games";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Resident Evil: Revelations";"Nintendo 3DS";2012;"Action";"Capcom";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"NBA 2K6";"PS2";2005;"Action";"Take-Two Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Buzz! The Mega Quiz";"PS2";2007;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Endless Ocean: Blue World";"Nintendo Wii";2009;"Simulation";"Nintendo";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Star Wars: Rebel Assault II - The Hidden Empire";"PS";1996;"Shooter";"CTO SpA";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Just Cause 3";"XBOX One";2015;"Action";"Square Enix";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Metal Gear Ac!d";"PSP";2004;"Strategy";"Konami Digital Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Cooking Mama: World Kitchen";"Nintendo Wii";2008;"Simulation";"505 Games";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Tekken Tag Tournament 2";"PS3";2012;"Fighting";"Namco Bandai Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"ESPN NHL 2K5";"PS2";2004;"Sports";"Global Star";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"GRID";"XBOX 360";2008;"Racing";"Codemasters";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Phantasy Star Portable 2";"PSP";2009;"Role-Playing";"Sega";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Crimson Skies: High Road to Revenge";"XBOX";2003;"Simulation";"Microsoft Game Studios";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Spec Ops: Ranger Elite";"PS";2001;"Shooter";"TalonSoft";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Gex";"PS";1995;"Platform";"Crystal Dynamics";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"NBA 2K14";"XBOX One";2013;"Sports";"Take-Two Interactive";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"DiRT";"XBOX 360";2007;"Racing";"Codemasters";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Derby Stallion II";"Super Nintendo";1994;"Sports";"ASCII Entertainment";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Gold's Gym: Dance Workout";"Nintendo Wii";2010;"Sports";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Red Faction: Guerrilla";"XBOX 360";2009;"Shooter";"THQ";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Tom Clancy's Ghost Recon: Island Thunder";"XBOX";2003;"Shooter";"Ubisoft";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Mercenaries 2: World in Flames";"PS3";2008;"Shooter";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Need for Speed: V-Rally";"PS";1997;"Racing";"Infogrames";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Kingdom Hearts Re: Chain of Memories";"PS2";2008;"Role-Playing";"Square Enix";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Pictionary";"Nintendo Wii";2010;"Puzzle";"THQ";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"NCAA Football 13";"PS3";2012;"Action";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Kingdoms of Amalur: Reckoning";"PS3";2012;"Role-Playing";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"NFL GameDay '97";"PS";1996;"Sports";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Beijing 2008";"PS3";2008;"Sports";"Sega";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"The House of the Dead: Overkill";"Nintendo Wii";2009;"Shooter";"Sega";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Tony Hawk's Project 8";"PS2";2006;"Sports";"Activision";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Injustice: Gods Among Us";"PS4";2013;"Fighting";"Warner Bros. Interactive Entertainment";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"NHL 2000";"PS";1998;"Sports";"Electronic Arts";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Buzz! Master Quiz";"PSP";2008;"Misc";"Sony Computer Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Brothers in Arms: Hell's Highway";"XBOX 360";2008;"Shooter";"Ubisoft";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Fight Night Round 2";"PS2";2005;"Fighting";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Wizards of Waverly Place";"Nintendo DS";2009;"Misc";"Disney Interactive Studios";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Scooby-Doo! First Frights";"Nintendo DS";2009;"Action";"Warner Bros. Interactive Entertainment";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Conflict: Desert Storm";"XBOX";2002;"Shooter";"SCi";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Triple Play 2002";"PS2";2002;"Sports";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Vagrant Story";"PS";2000;"Role-Playing";"Crave Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Lemmings";"PSP";2006;"Puzzle";"Sony Computer Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Warriors Orochi";"PS2";2007;"Action";"Tecmo Koei";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Guitar Hero: Warriors of Rock";"XBOX 360";2010;"Misc";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Enduro";"Atari 2600";1982;"Misc";"Quelle";"Home";"Atari";1977;1992;30.0;7.28;0.45;0.0;7.81
"Tales of Xillia 2";"PS3";2012;"Role-Playing";"Namco Bandai Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"SingStar '90s";"PS2";2007;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Monster Strike 3DS";"Nintendo 3DS";2015;"Action";"mixi, Inc";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Tomb Raider: Anniversary";"Nintendo Wii";2007;"Action";"Eidos Interactive";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Winning Eleven: Pro Evolution Soccer 2007";"PSP";2006;"Sports";"Konami Digital Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Darksiders II";"PS3";2012;"Action";"THQ";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Ghostbusters: The Video Game";"PS3";2009;"Action";"Sony Computer Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"The World Ends With You";"Nintendo DS";2007;"Role-Playing";"Square Enix";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Rocky";"PS2";2002;"Fighting";"Rage Software";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Dragon Quest VIII: Journey of the Cursed King";"Nintendo 3DS";2015;"Role-Playing";"Square Enix";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Ford Racing";"PS";2001;"Racing";"Empire Interactive";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Madden Football 64";"Nintendo 64";1997;"Sports";"Electronic Arts";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"MLB 99";"PS";1998;"Sports";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Dragon Ball Z: Burst Limit";"PS3";2008;"Fighting";"Atari";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"The Legendary Starfy";"Nintendo DS";2008;"Platform";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"2010 FIFA World Cup South Africa";"XBOX 360";2010;"Sports";"Electronic Arts";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Dynasty Warriors 4: Xtreme Legends";"PS2";2003;"Action";"Tecmo Koei";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Ninja Gaiden Sigma 2";"PS3";2009;"Action";"Ubisoft Annecy";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Forza Horizon 2";"XBOX 360";2014;"Racing";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Skate 2";"PS3";2009;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"FIFA Soccer 08";"Nintendo DS";2007;"Sports";"Electronic Arts";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Army Men: Air Attack";"PS";1999;"Action";"3DO";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Need for Speed: Nitro";"Nintendo Wii";2009;"Racing";"Electronic Arts";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Madden NFL 09 All-Play";"Nintendo Wii";2008;"Sports";"Electronic Arts";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"NBA 2K8";"XBOX 360";2007;"Sports";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Far Cry: Primal";"XBOX One";2016;"Action";"Ubisoft";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Street Fighter Alpha 2";"PS";1996;"Fighting";"Virgin Interactive";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Tiger Woods PGA Tour 2005";"XBOX";2004;"Sports";"Electronic Arts";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Army of Two: The 40th Day";"PS3";2010;"Shooter";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Blazing Angels: Squadrons of WWII";"Nintendo Wii";2007;"Simulation";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Castlevania III: Dracula's Curse";"Nintendo NES";1989;"Platform";"Konami Digital Entertainment";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Harry Potter and the Order of the Phoenix";"Nintendo DS";2007;"Action";"Electronic Arts";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Rampage World Tour";"PS";1997;"Action";"GT Interactive";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Burnout Legends";"PSP";2005;"Racing";"Electronic Arts";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"WWE 2K15";"PS3";2014;"Sports";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Overwatch";"XBOX One";2016;"Shooter";"Activision";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Ratatouille";"PS2";2007;"Action";"THQ";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"NFL GameDay";"PS";1995;"Sports";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Burnout 2: Point of Impact";"PS2";2002;"Racing";"Acclaim Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Kirby: Planet Robobot";"Nintendo 3DS";2016;"Action";"Nintendo";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Street Fighter EX3";"PS2";2000;"Fighting";"Virgin Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Karaoke Revolution Glee";"Nintendo Wii";2010;"Misc";"Konami Digital Entertainment";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Sniper Elite V2";"XBOX 360";2012;"Shooter";"505 Games";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Thief (2014)";"PS4";2014;"Action";"Square Enix";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Spider-Man 2";"Nintendo GameCube";2004;"Action";"Activision";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Golden Sun: Dark Dawn";"Nintendo DS";2010;"Role-Playing";"Nintendo";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Tiger Woods PGA Tour 11";"PS3";2010;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Devil May Cry HD Collection";"PS3";2012;"Action";"Capcom";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"MLB 16: The Show";"PS4";2016;"Action";"Sony Computer Entertainment";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"NBA 2K10";"PS3";2009;"Sports";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Xenoblade Chronicles X";"Nintendo WiiU";2015;"Role-Playing";"Nintendo";"Home";"Nintendo";2012;2017;13.56;3.13;2.07;1.27;6.96
"Petz Dogz Fashion";"Nintendo DS";2008;"Simulation";"Ubisoft";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"The Incredibles";"Nintendo GameCube";2004;"Action";"THQ";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"NCAA Football 11";"PS3";2010;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Dragon Age II";"PS3";2011;"Action";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"ATV Quad Power Racing 2";"PS2";2003;"Racing";"Acclaim Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Harvest Moon: Tree of Tranquility";"Nintendo Wii";2007;"Simulation";"Rising Star Games";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Final Fantasy";"Nintendo NES";1987;"Role-Playing";"SquareSoft";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Street Fighter X Tekken";"PS3";2012;"Fighting";"Capcom";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Rocket Power: Team Rocket Rescue";"PS";2001;"Sports";"THQ";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Duke Nukem Forever";"XBOX 360";2011;"Shooter";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Big Mutha Truckers";"PS2";2002;"Racing";"Empire Interactive";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Borderlands: The Handsome Collection";"PS4";2015;"Shooter";"Take-Two Interactive";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Rogue Galaxy";"PS2";2005;"Role-Playing";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"ESPN College Hoops 2K5";"PS2";2004;"Sports";"Sega";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"FIFA 15";"PlayStation Vita";2014;"Sports";"Electronic Arts";"Handheld";"Sony";2011;2019;15.0;0.28;0.79;0.87;2.25
"Time Crisis 4";"PS3";2007;"Shooter";"Namco Bandai Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Ben 10: Protector of Earth";"PS2";2007;"Action";"D3Publisher";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Need for Speed Rivals";"XBOX 360";2013;"Racing";"Electronic Arts";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Q*bert";"PS";1999;"Puzzle";"Atari";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"WWE SmackDown vs. Raw 2009";"Nintendo Wii";2008;"Fighting";"THQ";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Ace Combat 3: Electrosphere";"PS";1999;"Simulation";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Dynasty Warriors 2";"PS2";2000;"Action";"THQ";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Battle of Giants: Dinosaurs";"Nintendo DS";2008;"Strategy";"Ubisoft";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Borderlands 2";"PlayStation Vita";2014;"Shooter";"Take-Two Interactive";"Handheld";"Sony";2011;2019;15.0;0.28;0.79;0.87;2.25
"FIFA Soccer World Championship";"PS2";2000;"Sports";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Brute Force";"XBOX";2003;"Shooter";"Microsoft Game Studios";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Dance Central 3";"XBOX 360";2012;"Misc";"Microsoft Game Studios";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Yu-Gi-Oh! Dark Duel Stories";"Gameboy";2000;"Misc";"Konami Digital Entertainment";"Handheld";"Nintendo";1989;2003;64.42;11.27;8.89;10.22;31.37
"The Game of Life";"PS";1998;"Misc";"Unknown";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Mega Man Legends";"PS";1997;"Adventure";"Capcom";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"NCAA Football 12";"PS3";2011;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Sly 3: Honor Among Thieves";"PS2";2005;"Platform";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"The Price is Right";"Nintendo Wii";2008;"Misc";"Ubisoft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Sid Meier's Civilization Revolution";"XBOX 360";2008;"Strategy";"Take-Two Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"I Spy: Fun House";"Nintendo DS";2007;"Puzzle";"Scholastic Inc.";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"The Amazing Spider-Man (Console Version)";"PS3";2012;"Action";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Dragon Ball: Raging Blast 2";"PS3";2010;"Fighting";"Namco Bandai Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"MediEvil";"PS";1998;"Platform";"Sony Computer Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Casper";"PS";1996;"Adventure";"Interplay";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Deca Sports 2";"Nintendo Wii";2009;"Sports";"Hudson Soft";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"James Bond 007: Nightfire";"XBOX";2002;"Shooter";"Electronic Arts";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Madden NFL 17";"XBOX One";2016;"Sports";"Electronic Arts";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Tony Hawk's Underground 2 Remix";"PSP";2005;"Sports";"Activision";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Tony Hawk's Pro Skater 3";"Nintendo GameCube";2001;"Sports";"Activision";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Marvel: Ultimate Alliance";"PS2";2006;"Role-Playing";"Activision";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Star Wars The Clone Wars: Republic Heroes";"Nintendo Wii";2009;"Action";"LucasArts";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"DJ Hero 2";"XBOX 360";2010;"Misc";"Activision";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Street Fighter V";"PS4";2016;"Fighting";"Capcom";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Need for Speed: Hot Pursuit 2";"XBOX";2002;"Racing";"Electronic Arts";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Clu Clu Land";"Nintendo NES";1984;"Puzzle";"Nintendo";"Home";"Nintendo";1983;2003;61.91;29.08;3.58;6.81;40.24
"Killer Instinct Gold";"Nintendo 64";1996;"Fighting";"Nintendo";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Amped: Freestyle Snowboarding";"XBOX";2001;"Sports";"Microsoft Game Studios";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Custer's Revenge";"Atari 2600";1981;"Action";"Mystique";"Home";"Atari";1977;1992;30.0;7.28;0.45;0.0;7.81
"MediEvil: Resurrection";"PSP";2005;"Adventure";"Sony Computer Entertainment";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"DmC: Devil May Cry";"PS3";2013;"Action";"Capcom";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Tales of the Abyss";"Nintendo 3DS";2011;"Role-Playing";"Namco Bandai Games";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Rocket Power: Beach Bandits";"PS2";2002;"Platform";"THQ";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Guitar Hero: Warriors of Rock";"PS3";2010;"Misc";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Hasbro Family Game Night 3";"Nintendo Wii";2010;"Misc";"Electronic Arts";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Madden NFL 16";"PS3";2015;"Sports";"Electronic Arts";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Stranglehold";"XBOX 360";2007;"Shooter";"Midway Games";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Imagine: Rock Star";"Nintendo DS";2008;"Simulation";"Ubisoft";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
