"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Big Mutha Truckers 2";"PS2";2005;"Racing";"Xplosiv";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"The Naked Brothers Band: The Video Game";"Nintendo DS";2008;"Misc";"THQ";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Demon Gaze";"PlayStation Vita";2013;"Role-Playing";"Nippon Ichi Software";"Handheld";"Sony";2011;2019;15.0;0.28;0.79;0.87;2.25
"Zombie Army Trilogy";"PS4";2015;"Shooter";"Rebellion Developments";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"NHL FaceOff 2001";"PS2";2001;"Sports";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Mana Khemia 2: Fall of Alchemy";"PS2";2008;"Role-Playing";"Gust";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"The Great Escape";"PS2";2003;"Action";"SCi";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Nostalgia";"Nintendo DS";2008;"Role-Playing";"Tecmo Koei";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"DiRT Showdown";"PS3";2012;"Racing";"Codemasters";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Iron Chef America: Supreme Cuisine";"Nintendo DS";2008;"Simulation";"Destineer";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Arcade Shooting Gallery";"Nintendo Wii";2008;"Shooter";"Zoo Games";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"The Rise of the Argonauts";"PS3";2008;"Role-Playing";"Codemasters";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Big Mutha Truckers";"XBOX";2002;"Racing";"Empire Interactive";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"ESA Foundation Compilation";"PS2";2005;"Misc";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"The King of Fighters XI";"PS2";2006;"Fighting";"Ignition Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Ninja Gaiden 3";"Nintendo WiiU";2012;"Action";"Nintendo";"Home";"Nintendo";2012;2017;13.56;3.13;2.07;1.27;6.96
"Dragon Ball Z: Idainaru Dragon Ball Densetsu";"PS";1996;"Fighting";"Namco Bandai Games";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Silent Hill HD Collection";"XBOX 360";2012;"Action";"Konami Digital Entertainment";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Bound By Flame";"PS4";2014;"Role-Playing";"Focus Home Interactive";"Home";"Sony";2013;0;117.2;5.77;5.81;0.35;14.24
"Conflict: Denied Ops";"XBOX 360";2008;"Shooter";"Eidos Interactive";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
